date,total,male,female
1899-01-01,5932.0,3699.0,2233.0
1900-01-01,5863.0,3716.0,2147.0
1901-01-01,7847.0,4872.0,2974.0
1902-01-01,8059.0,4986.0,3073.0
1903-01-01,8814.0,5547.0,3267.0
1904-01-01,8966.0,5585.0,3381.0
1905-01-01,8089.0,5020.0,3069.0
1906-01-01,7657.0,4665.0,2992.0
1907-01-01,7999.0,4836.0,3163.0
1908-01-01,8324.0,5100.0,3224.0
1909-01-01,9141.0,5735.0,3405.0
1910-01-01,9372.0,5928.0,3444.0
1911-01-01,9373.0,5847.0,3526.0
1912-01-01,9475.0,5955.0,3520.0
1913-01-01,10367.0,6474.0,3893.0
1914-01-01,10902.0,6894.0,4008.0
1915-01-01,10153.0,6503.0,3650.0
1916-01-01,9599.0,6065.0,3534.0
1917-01-01,9254.0,5724.0,3530.0
1918-01-01,10101.0,6147.0,3954.0
1919-01-01,9924.0,6158.0,3766.0
1920-01-01,10630.0,6521.0,4109.0
1921-01-01,11358.0,6923.0,4435.0
1922-01-01,11546.0,6984.0,4562.0
1923-01-01,11488.0,7065.0,4423.0
1924-01-01,11261.0,6958.0,4303.0
1925-01-01,12249.0,7521.0,4728.0
1926-01-01,12484.0,7675.0,4805.0
1927-01-01,12845.0,7912.0,4933.0
1928-01-01,13032.0,7984.0,5048.0
1929-01-01,12740.0,7915.0,4825.0
1930-01-01,13942.0,8810.0,5132.0
1931-01-01,14353.0,9102.0,5251.0
1932-01-01,14746.0,9272.0,5474.0
1933-01-01,14805.0,9110.0,5695.0
1934-01-01,14554.0,9065.0,5489.0
1935-01-01,14172.0,8733.0,5438.0
1936-01-01,15423.0,9766.0,5657.0
1937-01-01,14295.0,8923.0,5372.0
1938-01-01,12223.0,7585.0,4638.0
1939-01-01,10785.0,6502.0,4283.0
1940-01-01,9877.0,5841.0,4036.0
1941-01-01,9713.0,5667.0,4046.0
1942-01-01,9393.0,5498.0,3895.0
1943-01-01,8784.0,5115.0,3669.0
1944-01-01,,,
1945-01-01,,,
1946-01-01,,,
1947-01-01,12262.0,7108.0,5154.0
1948-01-01,12753.0,7331.0,5422.0
1949-01-01,14201.0,8391.0,5810.0
1950-01-01,16311.0,9820.0,6491.0
1951-01-01,15415.0,9035.0,6380.0
1952-01-01,15776.0,9171.0,6605.0
1953-01-01,17731.0,10450.0,7281.0
1954-01-01,20635.0,12641.0,7994.0
1955-01-01,22477.0,13836.0,8641.0
1956-01-01,22107.0,13222.0,8885.0
1957-01-01,22136.0,13276.0,8860.0
1958-01-01,23641.0,13895.0,9746.0
1959-01-01,21090.0,12179.0,8911.0
1960-01-01,20143.0,11506.0,8637.0
1961-01-01,18446.0,10333.0,8113.0
1962-01-01,16724.0,9541.0,7183.0
1963-01-01,15490.0,8923.0,6567.0
1964-01-01,14707.0,8336.0,6371.0
1965-01-01,14444.0,8330.0,6114.0
1966-01-01,15050.0,8450.0,6600.0
1967-01-01,14121.0,7940.0,6181.0
1968-01-01,14601.0,8174.0,6427.0
1969-01-01,14844.0,8241.0,6603.0
1970-01-01,15728.0,8761.0,6967.0
1971-01-01,16239.0,9157.0,7082.0
1972-01-01,18015.0,10231.0,7784.0
1973-01-01,18859.0,10730.0,8129.0
1974-01-01,19105.0,10723.0,8382.0
1975-01-01,19975.0,11744.0,8231.0
1976-01-01,19786.0,11744.0,8042.0
1977-01-01,20269.0,12299.0,7970.0
1978-01-01,20199.0,12409.0,7790.0
1979-01-01,20823.0,12851.0,7972.0
1980-01-01,20542.0,12769.0,7773.0
1981-01-01,20096.0,12708.0,7388.0
1982-01-01,20668.0,13203.0,7465.0
1983-01-01,24985.0,16876.0,8109.0
1984-01-01,24344.0,16251.0,8093.0
1985-01-01,23383.0,15356.0,8027.0
1986-01-01,25667.0,16499.0,9168.0
1987-01-01,23831.0,15281.0,8550.0
1988-01-01,22795.0,14290.0,8505.0
1989-01-01,21125.0,12939.0,8186.0
1990-01-01,20088.0,12316.0,7772.0
1991-01-01,19875.0,12477.0,7398.0
1992-01-01,20893.0,13516.0,7377.0
1993-01-01,20516.0,13540.0,6976.0
1994-01-01,20923.0,14058.0,6865.0
1995-01-01,21420.0,14231.0,7189.0
1996-01-01,22138.0,14853.0,7285.0
1997-01-01,23494.0,15901.0,7593.0
1998-01-01,31755.0,22349.0,9406.0
1999-01-01,31413.0,22402.0,9011.0
2000-01-01,30251.0,21656.0,8595.0
2001-01-01,29375.0,21085.0,8290.0
2002-01-01,29949.0,21677.0,8272.0
2003-01-01,32109.0,23396.0,8713.0
2004-01-01,30247.0,21955.0,8292.0
2005-01-01,30553.0,22236.0,8317.0
2006-01-01,29921.0,21419.0,8502.0
2007-01-01,30827.0,22007.0,8820.0
2008-01-01,30229.0,21546.0,8683.0
2009-01-01,30707.0,22189.0,8518.0
2010-01-01,29554.0,21028.0,8526.0
2011-01-01,28896.0,19904.0,8992.0
2012-01-01,26433.0,18485.0,7948.0
2013-01-01,26063.0,18158.0,7905.0
2014-01-01,24417.0,16875.0,7542.0
2015-01-01,23152.0,16202.0,6950.0
2016-01-01,21021.0,14642.0,6379.0
2017-01-01,20468.0,14336.0,6132.0
2018-01-01,20031.0,13851.0,6180.0
2019-01-01,19425.0,13668.0,5757.0
