date,total,male,female
1953-01-01,1.8,1.9,1.9
1954-01-01,2.3,2.4,2.2
1955-01-01,2.5,2.7,2.3
1956-01-01,2.3,2.3,2.3
1957-01-01,1.9,1.9,2.0
1958-01-01,2.1,2.2,1.9
1959-01-01,2.2,2.3,2.0
1960-01-01,1.6,1.6,1.7
1961-01-01,1.4,1.3,1.6
1962-01-01,1.3,1.2,1.4
1963-01-01,1.3,1.2,1.4
1964-01-01,1.2,1.1,1.3
1965-01-01,1.2,1.2,1.4
1966-01-01,1.3,1.2,1.4
1967-01-01,1.2,1.2,1.4
1968-01-01,1.2,1.2,1.1
1969-01-01,1.1,1.2,1.1
1970-01-01,1.2,1.2,1.1
1971-01-01,1.2,1.3,1.2
1972-01-01,1.4,1.5,1.3
1973-01-01,1.2,1.3,1.2
1974-01-01,1.4,1.4,1.3
1975-01-01,1.9,2.0,1.7
1976-01-01,2.0,2.2,1.7
1977-01-01,2.0,2.1,1.8
1978-01-01,2.2,2.4,2.0
1979-01-01,2.1,2.1,2.0
1980-01-01,2.0,2.1,2.0
1981-01-01,2.2,2.3,2.1
1982-01-01,2.4,2.4,2.3
1983-01-01,2.7,2.7,2.6
1984-01-01,2.7,2.7,2.8
1985-01-01,2.6,2.6,2.7
1986-01-01,2.8,2.7,2.8
1987-01-01,2.8,2.9,2.8
1988-01-01,2.5,2.5,2.6
1989-01-01,2.2,2.2,2.3
1990-01-01,2.1,2.0,2.2
1991-01-01,2.1,2.0,2.2
1992-01-01,2.2,2.1,2.2
1993-01-01,2.5,2.4,2.6
1994-01-01,2.9,2.8,3.0
1995-01-01,3.2,3.1,3.2
1996-01-01,3.4,3.4,3.4
1997-01-01,3.4,3.4,3.4
1998-01-01,4.1,4.2,4.0
1999-01-01,4.7,4.8,4.5
2000-01-01,4.7,4.9,4.5
2001-01-01,5.0,5.2,4.7
2002-01-01,5.4,5.6,5.1
2003-01-01,5.2,5.5,4.9
2004-01-01,4.7,4.9,4.4
2005-01-01,4.4,4.6,4.2
2006-01-01,4.1,4.3,3.9
2007-01-01,3.8,3.9,3.7
2008-01-01,4.0,4.1,3.8
2009-01-01,5.1,5.3,4.8
2010-01-01,5.1,5.4,4.6
2011-01-01,4.6,4.9,4.2
2012-01-01,4.3,4.6,4.0
2013-01-01,4.0,4.3,3.7
2014-01-01,3.6,3.7,3.4
2015-01-01,3.4,3.5,3.1
2016-01-01,3.1,3.3,2.8
2017-01-01,2.8,3.0,2.6
2018-01-01,2.4,2.6,2.2
2019-01-01,2.4,2.5,2.2
2020-01-01,2.8,3.0,2.5
