date,sex,group,infection_death
2020-03-01,male,0_19,0.0
2020-03-01,female,0_19,0.0
2020-04-01,male,0_19,0.0
2020-04-01,female,0_19,0.0
2020-05-01,male,0_19,0.0
2020-05-01,female,0_19,0.0
2020-06-01,male,0_19,0.0
2020-06-01,female,0_19,0.0
2020-07-01,male,0_19,0.0
2020-07-01,female,0_19,0.0
2020-08-01,male,0_19,0.0
2020-08-01,female,0_19,0.0
2020-09-01,male,0_19,0.0
2020-09-01,female,0_19,0.0
2020-10-01,male,0_19,0.0
2020-10-01,female,0_19,0.0
2020-11-01,male,0_19,0.0
2020-11-01,female,0_19,0.0
2020-12-01,male,0_19,0.0
2020-12-01,female,0_19,0.0
2021-01-01,male,0_19,0.0
2021-01-01,female,0_19,0.0
2021-02-01,male,0_19,0.0
2021-02-01,female,0_19,0.0
2021-03-01,male,0_19,0.0
2021-03-01,female,0_19,0.0
2021-04-01,male,0_19,0.0
2021-04-01,female,0_19,0.0
2021-05-01,male,0_19,0.0
2021-05-01,female,0_19,0.0
2021-06-01,male,0_19,0.0
2021-06-01,female,0_19,0.0
2021-07-01,male,0_19,0.0
2021-07-01,female,0_19,0.0
2020-03-01,male,20_29,0.0
2020-03-01,female,20_29,0.0
2020-04-01,male,20_29,0.0
2020-04-01,female,20_29,0.0
2020-05-01,male,20_29,1.1329174839487823
2020-05-01,female,20_29,0.0
2020-06-01,male,20_29,0.0
2020-06-01,female,20_29,0.0
2020-07-01,male,20_29,0.0
2020-07-01,female,20_29,0.0
2020-08-01,male,20_29,0.0
2020-08-01,female,20_29,0.0
2020-09-01,male,20_29,0.0
2020-09-01,female,20_29,0.0
2020-10-01,male,20_29,0.0
2020-10-01,female,20_29,0.0
2020-11-01,male,20_29,0.0
2020-11-01,female,20_29,0.0
2020-12-01,male,20_29,0.0
2020-12-01,female,20_29,0.0
2021-01-01,male,20_29,1.109937253723582
2021-01-01,female,20_29,0.0
2021-02-01,male,20_29,1.201397148615637
2021-02-01,female,20_29,0.0
2021-03-01,male,20_29,0.0
2021-03-01,female,20_29,0.0
2021-04-01,male,20_29,0.0
2021-04-01,female,20_29,0.0
2021-05-01,male,20_29,2.221156238829355
2021-05-01,female,20_29,1.1068135171213007
2021-06-01,male,20_29,0.0
2021-06-01,female,20_29,1.369405451435712
2021-07-01,male,20_29,0.8233499095840868
2021-07-01,female,20_29,0.5614289203504982
2020-03-01,male,30_39,0.0
2020-03-01,female,30_39,0.0
2020-04-01,male,30_39,3.4804223813569606
2020-04-01,female,30_39,1.1395492744076492
2020-05-01,male,30_39,0.0
2020-05-01,female,30_39,0.0
2020-06-01,male,30_39,0.0
2020-06-01,female,30_39,0.0
2020-07-01,male,30_39,0.0
2020-07-01,female,30_39,0.0
2020-08-01,male,30_39,0.9299015536447136
2020-08-01,female,30_39,0.0
2020-09-01,male,30_39,0.0
2020-09-01,female,30_39,0.0
2020-10-01,male,30_39,0.6926715619756051
2020-10-01,female,30_39,0.0
2020-11-01,male,30_39,0.0
2020-11-01,female,30_39,0.0
2020-12-01,male,30_39,1.8357408211511557
2020-12-01,female,30_39,0.0
2021-01-01,male,30_39,1.109937253723582
2021-01-01,female,30_39,2.2170592961386686
2021-02-01,male,30_39,1.201397148615637
2021-02-01,female,30_39,0.0
