,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,total,total,total,total,total,total,total,total,total
,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total
2009-01-01,33.46846548155248,210.05274278132646,275.3246749799208,328.97647740843325,459.3159425500348,357.7474843344642,179.97995661385124,108.35226803714447,1953.218012186728,12.073295711599371,98.02889913794871,134.3684729119147,97.04281517080999,115.98148486979846,133.20282826622184,100.0511880461605,78.3810412510536,769.1300253655072,45.54176119315185,308.08164191927517,409.6931478918355,426.01929257924326,575.2974274198332,490.95031260068606,280.03114466001176,186.7333092881981,2722.348037552235
2009-02-01,19.12769248548328,182.18841638808993,274.30382763397154,281.0568917269508,405.4957039785217,349.0576361143148,160.4852489119385,83.4294615241186,1755.1448787633892,15.173954336968238,83.47742884735406,103.84670703124874,103.6076442168089,120.67038752754799,130.8856840656364,96.57315167196661,64.66351697442119,718.898474671952,34.30164682245152,265.665845235444,378.1505346652203,384.6645359437597,526.1660915060697,479.94332017995123,257.0584005839051,148.09297849853976,2474.0433534353415
2009-03-01,30.415163944674397,249.73204130726282,374.7565712832127,399.1125984726097,502.83480427309405,426.7074857549975,192.11431514954356,113.37552151419847,2289.0485016995935,15.090151048985437,118.02331075953272,117.31030957687096,118.04059659064619,123.02925408137159,141.26197917394134,117.04849872214352,84.40213800528771,834.2062379587795,45.50531499365984,367.7553520667955,492.06688086008364,517.1531950632559,625.8640583544657,567.9694649289388,309.1628138716871,197.77765951948618,3123.254739658373
2009-04-01,43.36615936486913,221.04376802668918,304.0905927314151,401.06813155320987,456.74327851826547,394.14786391661664,207.28381001769233,130.90560019760088,2158.6492043263584,29.1725591038776,92.01270870171047,116.30074879817606,114.0324466178569,159.32350417935177,147.30731356683347,127.04509711038165,94.44440133984959,879.6387794180376,72.53871846874672,313.0564767283996,420.39134152959116,515.1005781710668,616.0667826976172,541.4551774834501,334.328907128074,225.35000153745045,3038.287983744396
2009-05-01,20.135976536040832,218.6430755072552,316.68415365166356,354.88715478246735,485.2203440608065,398.52159587886,213.99694699035916,112.58825590044336,2120.6775033078957,22.15721032011301,87.11543506151547,120.45411372871436,110.1620844806882,115.09156164934373,161.6245411938567,127.19609497797566,98.58033937814304,842.3813807903502,42.29318685615384,305.75851056877065,437.1382673803779,465.0492392631555,600.3119057101502,560.1461370727167,341.1930419683348,211.1685952785864,2963.058884098246
2009-06-01,33.23905017694664,191.3972727264148,283.52735655370753,327.7329735612644,462.2228036585945,372.4543884578674,209.04222844274244,111.6323358128148,1991.2484093903527,14.148854569277944,71.34032009895999,123.89288028449832,108.53356363361927,104.34621588429206,143.93834818039832,146.7316363599261,125.1661131623825,838.0979321733546,47.387904746224585,262.7375928253748,407.4202368382058,436.26653719488365,566.5690195428865,516.3927366382658,355.7738648026685,236.7984489751973,2829.346341563707
2009-07-01,33.30686905143033,215.12704231529025,251.75215712446345,351.7141228518175,395.41018469599464,373.21432104581015,238.81460794286335,118.91434419050908,1978.2536492181791,24.201859762264696,100.25844312405971,123.62052994319095,97.26493327927402,112.20357886519419,145.64477655225267,119.3334283852413,92.66103773815577,815.1885876496332,57.50872881369503,315.38548543934996,375.3726870676544,448.9790561310915,507.6137635611888,518.8590975980628,358.14803632810464,211.57538192866485,2793.4422368678124
2009-08-01,37.31981253518555,191.66323288318043,262.7030173949309,290.7100790241439,405.2596139196572,312.3260964208117,193.1524016279936,129.91515261656946,1823.0494064224729,19.09223300970874,77.92578496669839,98.1470367591898,87.92914653784219,108.78602620087337,119.93474320241693,104.92285084496693,95.34514078110809,712.0829623028044,56.41204554489428,269.5890178498788,360.8500541541207,378.6392255619861,514.0456401205306,432.26083962322866,298.0752524729605,225.26029339767754,2535.132368725277
2009-09-01,20.190860155580317,191.83414245864822,294.28748792270954,313.2735781671092,338.86042910411817,345.9895608860585,176.1177340694365,109.87115530129535,1790.4249480649557,16.098431662240966,72.02438192493113,103.2877463518025,102.0494851576602,98.84071848957602,131.19034105731208,112.06223152716638,107.52741302442512,743.0807491951144,36.28929181782128,263.8585243835794,397.575234274512,415.32306332476935,437.7011475936942,477.17990194337057,288.17996559660287,217.39856832572048,2533.50569726007
2009-10-01,28.392994468293363,197.78537365681,283.4075093558982,332.99781367858355,420.63434666276885,367.8525757447378,224.68519457368978,119.47238730075165,1975.2281954415332,19.182108924911194,95.35639304775971,99.61527486534924,118.46002493245477,122.45438865448105,144.80171727436627,123.48821736862165,94.78561655464921,818.1437416225931,47.57510339320456,293.1417667045697,383.02278422124743,451.4578386110383,543.0887353172499,512.6542930191041,348.1734119423114,214.25800385540086,2793.3719370641265
2009-11-01,34.09719471437769,185.52260395437446,275.26074381754046,332.3488156536527,425.0414889431861,306.514932080379,178.97350801731503,89.1173178922359,1826.8766050730615,9.05592931386977,80.03205333529579,88.25131347790438,95.05198272075471,104.89869518906791,131.19847588787255,103.06362113641802,97.48416649601668,709.0362375571998,43.15312402824746,265.5546572896702,363.51205729544483,427.40079837440743,529.940184132254,437.71340796825154,282.0371291537331,186.60148438825257,2535.9128426302614
2009-12-01,28.10105175803341,186.67043848405777,293.5630415070019,341.66831407527184,395.1921580762684,323.8414829438398,156.97054192127632,84.17365733973142,1810.1806861054808,12.058252427184467,76.9267364414843,109.16354088522131,91.92592592592592,101.73508005822416,141.09969788519638,85.93681116825863,74.26884650317893,693.1148912946741,40.15930418521788,263.59717492554205,402.72658239222324,433.59424000119776,496.92723813449254,464.94118082903617,242.90735308953495,158.44250384291036,2503.295577400155
