date,gender_group,age_group,value
2009-01-01,male,total,23472
2010-01-01,male,total,22283
2011-01-01,male,total,20955
2012-01-01,male,total,19273
2013-01-01,male,total,18787
2014-01-01,male,total,17386
2015-01-01,male,total,16681
2016-01-01,male,total,15121
2017-01-01,male,total,14826
2018-01-01,male,total,14290
2019-01-01,male,total,14078
2020-01-01,male,total,14055
2009-01-01,male,0_19,361.1852998065764
2010-01-01,male,0_19,367.8393107503053
2011-01-01,male,0_19,421.3377266823801
2012-01-01,male,0_19,403.03220409870346
2013-01-01,male,0_19,376.1624283955244
2014-01-01,male,0_19,374.5943853974122
2015-01-01,male,0_19,387.15848806366046
2016-01-01,male,0_19,355.5991496711619
2017-01-01,male,0_19,397.31312174324967
2018-01-01,male,0_19,367.2335346159247
2019-01-01,male,0_19,444.4205800612841
2020-01-01,male,0_19,467.5301591833821
2009-01-01,male,20_29,2441.531914893617
2010-01-01,male,20_29,2374.327167473203
2011-01-01,male,20_29,2227.646832459474
2012-01-01,male,20_29,2193.5027708071934
2013-01-01,male,20_29,2035.7025536698966
2014-01-01,male,20_29,1953.3138863216266
2015-01-01,male,20_29,1740.7047865927177
2016-01-01,male,20_29,1659.4626984654221
2017-01-01,male,20_29,1612.328754144955
2018-01-01,male,20_29,1543.1835416374104
2019-01-01,male,20_29,1487.7555761419512
2020-01-01,male,20_29,1689.5295881219217
2009-01-01,male,30_39,3489.776402321083
2010-01-01,male,30_39,3285.3593234136856
2011-01-01,male,30_39,3147.9371302130935
2012-01-01,male,30_39,2701.32334797156
2013-01-01,male,30_39,2674.374056427004
2014-01-01,male,30_39,2423.3143484288353
2015-01-01,male,30_39,2284.737882806848
2016-01-01,male,30_39,2052.228990898824
2017-01-01,male,30_39,2016.6650876361914
2018-01-01,male,30_39,1936.50470439545
2019-01-01,male,30_39,1884.0222333072045
2020-01-01,male,30_39,1852.0615318723678
2009-01-01,male,40_49,4055.7678916827854
2010-01-01,male,40_49,3883.980009949799
2011-01-01,male,40_49,3704.3448458319303
2012-01-01,male,40_49,3442.902603513174
2013-01-01,male,40_49,3363.3346538893943
2014-01-01,male,40_49,3060.024376155268
2015-01-01,male,40_49,2948.4381480588377
2016-01-01,male,40_49,2763.427290241148
2017-01-01,male,40_49,2699.923259118901
2018-01-01,male,40_49,2507.4224125825026
2019-01-01,male,40_49,2519.0520914986105
2020-01-01,male,40_49,2474.0973659790134
2009-01-01,male,50_59,5152.439458413926
2010-01-01,male,50_59,4628.728641852472
2011-01-01,male,50_59,4016.8201933714945
2012-01-01,male,50_59,3442.902603513174
2013-01-01,male,50_59,3322.0975962310617
2014-01-01,male,50_59,3081.1141404805917
2015-01-01,male,50_59,2922.2923800337594
2016-01-01,male,50_59,2639.8716534909986
2017-01-01,male,50_59,2601.5982946470867
2018-01-01,male,50_59,2566.62126105884
2019-01-01,male,50_59,2505.0071973206013
2020-01-01,male,50_59,2378.785423656221
2009-01-01,male,60_69,4328.170212765957
2010-01-01,male,60_69,4211.508163357605
2011-01-01,male,60_69,3883.766174419164
2012-01-01,male,60_69,3472.1224383103304
2013-01-01,male,60_69,3242.640826596713
2014-01-01,male,60_69,2954.5755545286506
2015-01-01,male,60_69,2774.468230045816
2016-01-01,male,60_69,2474.126287118847
2017-01-01,male,60_69,2326.689720511606
2018-01-01,male,60_69,2110.0877685718297
2019-01-01,male,60_69,2051.5577567163114
2020-01-01,male,60_69,1865.1042187165394
2009-01-01,male,70_79,2331.5620889748548
2010-01-01,male,70_79,2286.6504002532674
2011-01-01,male,70_79,2291.1498869594498
2012-01-01,male,70_79,2270.0788895859473
2013-01-01,male,70_79,2383.703089030462
2014-01-01,male,70_79,2174.2542744916823
2015-01-01,male,70_79,2210.3230045816254
2016-01-01,male,70_79,1878.447485551053
2017-01-01,male,70_79,1847.1046897205117
2018-01-01,male,70_79,1919.4474090717597
2019-01-01,male,70_79,1888.035060215207
2020-01-01,male,70_79,1918.2782496966236
2009-01-01,male,80_99,1311.5667311411992
2010-01-01,male,80_99,1244.606982949663
2011-01-01,male,80_99,1261.997210063014
2012-01-01,male,80_99,1347.1351421999163
2013-01-01,male,80_99,1388.9847957599443
2014-01-01,male,80_99,1364.8090341959335
2015-01-01,male,80_99,1412.877079816735
2016-01-01,male,80_99,1297.8364445625457
2017-01-01,male,80_99,1324.3770724774988
2018-01-01,male,80_99,1339.4993680662828
2019-01-01,male,80_99,1298.1495047388298
2020-01-01,male,80_99,1409.6134627739311
2009-01-01,female,total,9373
2010-01-01,female,total,9407
2011-01-01,female,total,9696
2012-01-01,female,total,8585
2013-01-01,female,total,8496
2014-01-01,female,total,8041
2015-01-01,female,total,7344
2016-01-01,female,total,6776
2017-01-01,female,total,6495
2018-01-01,female,total,6550
2019-01-01,female,total,6091
2020-01-01,female,total,7026
2009-01-01,female,0_19,207.50919786096256
2010-01-01,female,0_19,187.47831184056272
2011-01-01,female,0_19,204.31608304927178
2012-01-01,female,0_19,187.28359776014932
2013-01-01,female,0_19,173.30597806862397
2014-01-01,female,0_19,165.2671898355755
2015-01-01,female,0_19,169.18429661941113
2016-01-01,female,0_19,166.22077730161075
2017-01-01,female,0_19,171.1844944512947
2018-01-01,female,0_19,233.1423770241369
2019-01-01,female,0_19,216.28407036001974
2020-01-01,female,0_19,311.35451695639784
2009-01-01,female,20_29,1052.5828877005347
2010-01-01,female,20_29,886.2611105190238
2011-01-01,female,20_29,1095.6950728230554
2012-01-01,female,20_29,824.2481334577694
2013-01-01,female,20_29,778.3742483197736
2014-01-01,female,20_29,740.1966865969108
2015-01-01,female,20_29,621.6772082878953
2016-01-01,female,20_29,583.775380523127
2017-01-01,female,20_29,606.6538224414303
2018-01-01,female,20_29,614.3751909563092
2019-01-01,female,20_29,634.8337991122801
2020-01-01,female,20_29,837.9541179823311
2009-01-01,female,30_39,1338.2839572192513
2010-01-01,female,30_39,1339.4172439518277
2011-01-01,female,30_39,1334.0638363805392
2012-01-01,female,30_39,1101.6682221185254
2013-01-01,female,30_39,1047.8500176865937
2014-01-01,female,30_39,1001.6193323368211
2015-01-01,female,30_39,815.8887677208288
2016-01-01,female,30_39,782.0387173045663
2017-01-01,female,30_39,693.7476880394574
2018-01-01,female,30_39,667.4075771463489
2019-01-01,female,30_39,648.8522110800592
2020-01-01,female,30_39,764.8709033912795
2009-01-01,female,40_49,1244.0527272727272
2010-01-01,female,40_49,1314.3532985185975
2011-01-01,female,40_49,1380.1351100092966
2012-01-01,female,40_49,1200.8183621091928
2013-01-01,female,40_49,1247.201980898479
2014-01-01,female,40_49,1188.9221474838066
2015-01-01,female,40_49,1138.2399127589968
2016-01-01,female,40_49,989.3140239397075
2017-01-01,female,40_49,978.0540998766954
2018-01-01,female,40_49,999.6104491292392
2019-01-01,female,40_49,916.2033536084169
2020-01-01,female,40_49,1103.2561983471073
2009-01-01,female,50_59,1387.4044919786097
2010-01-01,female,50_59,1369.4939784717042
2011-01-01,female,50_59,1392.153703129842
2012-01-01,female,50_59,1252.8972235184322
2013-01-01,female,50_59,1183.0887866996816
2014-01-01,female,50_59,1114.802316890882
2015-01-01,female,50_59,1074.1701199563795
2016-01-01,female,50_59,1004.333973695877
2017-01-01,female,50_59,1001.0789149198521
2018-01-01,female,50_59,1017.6214482126489
2019-01-01,female,50_59,939.2336018411968
2020-01-01,female,50_59,1055.2014819036763
2009-01-01,female,60_69,1672.103101604278
2010-01-01,female,60_69,1733.4224661622081
2011-01-01,female,60_69,1696.6247288503255
2012-01-01,female,60_69,1532.3203453103126
2013-01-01,female,60_69,1494.6388397594624
2014-01-01,female,60_69,1385.2395366218236
2015-01-01,female,60_69,1215.3238822246456
2016-01-01,female,60_69,1164.54677109502
2017-01-01,female,60_69,1021.1004932182491
2018-01-01,female,60_69,976.5963947448823
2019-01-01,female,60_69,858.1270754561893
2020-01-01,female,60_69,937.066970646908
2009-01-01,female,70_79,1363.3454545454545
2010-01-01,female,70_79,1407.5911755302143
2011-01-01,female,70_79,1414.1877905175086
2012-01-01,female,70_79,1410.1353243117126
2013-01-01,female,70_79,1417.5026529890342
2014-01-01,female,70_79,1345.1747633283508
2015-01-01,female,70_79,1254.3664122137404
2016-01-01,female,70_79,1114.4802719077877
2017-01-01,female,70_79,1086.1706226880394
2018-01-01,female,70_79,1085.6630003055302
2019-01-01,female,70_79,1036.3611704750945
2020-01-01,female,70_79,1115.2698774579653
2009-01-01,female,80_99,1107.7181818181818
2010-01-01,female,80_99,1168.9824150058616
2011-01-01,female,80_99,1178.823675240161
2012-01-01,female,80_99,1075.6287914139057
2013-01-01,female,80_99,1154.0374955783516
2014-01-01,female,80_99,1099.7780269058296
2015-01-01,female,80_99,1055.1494002181025
2016-01-01,female,80_99,971.2900842323038
2017-01-01,female,80_99,937.0098643649815
2018-01-01,female,80_99,955.5835624809043
2019-01-01,female,80_99,841.1047180667434
2020-01-01,female,80_99,901.0259333143346
2009-01-01,total,total,32845
2010-01-01,total,total,31690
2011-01-01,total,total,30651
2012-01-01,total,total,27858
2013-01-01,total,total,27283
2014-01-01,total,total,25427
2015-01-01,total,total,24025
2016-01-01,total,total,21897
2017-01-01,total,total,21321
2018-01-01,total,total,20840
2019-01-01,total,total,20169
2020-01-01,total,total,21081
2009-01-01,total,0_19,568.6944976675389
2010-01-01,total,0_19,555.317622590868
2011-01-01,total,0_19,625.6538097316519
2012-01-01,total,0_19,590.3158018588528
2013-01-01,total,0_19,549.4684064641483
2014-01-01,total,0_19,539.8615752329877
2015-01-01,total,0_19,556.3427846830716
2016-01-01,total,0_19,521.8199269727727
2017-01-01,total,0_19,568.4976161945444
2018-01-01,total,0_19,600.3759116400616
2019-01-01,total,0_19,660.7046504213039
2020-01-01,total,0_19,778.8846761397799
2009-01-01,total,20_29,3494.1148025941516
2010-01-01,total,20_29,3260.5882779922267
2011-01-01,total,20_29,3323.3419052825293
2012-01-01,total,20_29,3017.7509042649626
2013-01-01,total,20_29,2814.0768019896705
2014-01-01,total,20_29,2693.5105729185375
2015-01-01,total,20_29,2362.381994880613
2016-01-01,total,20_29,2243.238078988549
2017-01-01,total,20_29,2218.982576586385
2018-01-01,total,20_29,2157.5587325937195
2019-01-01,total,20_29,2122.5893752542315
2020-01-01,total,20_29,2527.4837061042526
2009-01-01,total,30_39,4828.0603595403345
2010-01-01,total,30_39,4624.776567365513
2011-01-01,total,30_39,4482.000966593632
2012-01-01,total,30_39,3802.9915700900856
2013-01-01,total,30_39,3722.2240741135975
2014-01-01,total,30_39,3424.9336807656564
2015-01-01,total,30_39,3100.626650527677
2016-01-01,total,30_39,2834.2677082033906
2017-01-01,total,30_39,2710.412775675649
2018-01-01,total,30_39,2603.912281541799
2019-01-01,total,30_39,2532.874444387264
2020-01-01,total,30_39,2616.932435263647
2009-01-01,total,40_49,5299.820618955513
2010-01-01,total,40_49,5198.333308468396
2011-01-01,total,40_49,5084.479955841227
2012-01-01,total,40_49,4643.720965622367
2013-01-01,total,40_49,4610.5366347878735
2014-01-01,total,40_49,4248.946523639074
2015-01-01,total,40_49,4086.678060817834
2016-01-01,total,40_49,3752.7413141808556
2017-01-01,total,40_49,3677.9773589955967
2018-01-01,total,40_49,3507.032861711742
2019-01-01,total,40_49,3435.2554451070273
2020-01-01,total,40_49,3577.3535643261207
2009-01-01,total,50_59,6539.8439503925365
2010-01-01,total,50_59,5998.222620324176
2011-01-01,total,50_59,5408.973896501337
2012-01-01,total,50_59,4695.799827031607
2013-01-01,total,50_59,4505.186382930743
2014-01-01,total,50_59,4195.916457371473
2015-01-01,total,50_59,3996.462499990139
2016-01-01,total,50_59,3644.2056271868755
2017-01-01,total,50_59,3602.677209566939
2018-01-01,total,50_59,3584.242709271489
2019-01-01,total,50_59,3444.2407991617983
2020-01-01,total,50_59,3433.9869055598974
2009-01-01,total,60_69,6000.273314370235
2010-01-01,total,60_69,5944.930629519813
2011-01-01,total,60_69,5580.39090326949
2012-01-01,total,60_69,5004.442783620643
2013-01-01,total,60_69,4737.279666356175
2014-01-01,total,60_69,4339.8150911504745
2015-01-01,total,60_69,3989.792112270462
2016-01-01,total,60_69,3638.673058213867
2017-01-01,total,60_69,3347.790213729855
2018-01-01,total,60_69,3086.684163316712
2019-01-01,total,60_69,2909.6848321725006
2020-01-01,total,60_69,2802.1711893634474
2009-01-01,total,70_79,3694.9075435203094
2010-01-01,total,70_79,3694.2415757834815
2011-01-01,total,70_79,3705.3376774769586
2012-01-01,total,70_79,3680.2142138976596
2013-01-01,total,70_79,3801.205742019496
2014-01-01,total,70_79,3519.429037820033
2015-01-01,total,70_79,3464.689416795366
2016-01-01,total,70_79,2992.9277574588405
2017-01-01,total,70_79,2933.275312408551
2018-01-01,total,70_79,3005.11040937729
2019-01-01,total,70_79,2924.3962306903013
2020-01-01,total,70_79,3033.5481271545887
2009-01-01,total,80_99,2419.284912959381
2010-01-01,total,80_99,2413.589397955525
2011-01-01,total,80_99,2440.820885303175
2012-01-01,total,80_99,2422.763933613822
2013-01-01,total,80_99,2543.022291338296
2014-01-01,total,80_99,2464.587061101763
2015-01-01,total,80_99,2468.0264800348377
2016-01-01,total,80_99,2269.1265287948495
2017-01-01,total,80_99,2261.3869368424803
2018-01-01,total,80_99,2295.082930547187
2019-01-01,total,80_99,2139.254222805573
2020-01-01,total,80_99,2310.6393960882656
