,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,total,total,total,total,total,total,total,total,total
,20_29,30_39,40_49,50_59,60_69,70_79,80_99,0_19,total,20_29,30_39,40_49,50_59,60_69,70_79,80_99,0_19,total,20_29,30_39,40_49,50_59,60_69,70_79,80_99,0_19,total
2008-01-01,6.422836982380181,4.01499723000473,3.037889399621065,3.842622642508312,3.7285816334763267,0.0,0.0,1.9537128177649496,4.072188463043901,5.897954271205974,4.4985959057586085,3.1998955736404415,2.7188653274475665,1.9093941416141174,0.0,0.0,1.6605994354156648,3.760862110855789,6.157454614164154,4.214549067777692,3.0848633797364746,3.3648787511071347,3.1000043635712,0.0,0.0,1.8076627908318248,3.988067852976138
2008-02-01,6.183906514092891,4.027673737791146,2.9461316452729625,3.7543197296170487,3.782811365439489,0.0,0.0,1.8116269683361128,4.029846961496234,5.84137938577037,4.635223064581806,3.308938122848467,2.6753067825667216,1.7463023367203552,0.0,0.0,1.5679467324164773,3.7779605178011257,6.029519344337661,4.281802926160843,3.09465561130908,3.317514077812525,3.0775625284676282,0.0,0.0,1.7110551622837533,3.9436011586111537
2008-03-01,5.90525886667726,3.9677567664479088,2.8320427272192314,3.6003940255716746,3.6735529508122413,0.0,0.0,1.6922850716499005,3.869416490460546,5.432498210462349,4.595609871862531,3.2670161384007192,2.6225707469964705,1.7448933313086412,0.0,0.0,1.3555075065709705,3.652891134226569,5.6349185729358,4.188299403997827,2.9973906911448456,3.187927590916129,2.94246311478058,0.0,0.0,1.5311729148730782,3.818444940468283
2008-04-01,6.510241494107747,3.93821819063289,2.7270792150729575,3.425893018558045,3.3464656443600562,0.0,0.0,1.988684172089266,3.8618789314199424,5.8714986377136,4.677315440306376,3.3542819037228533,2.634482207158835,1.8325351627773263,0.0,0.0,1.5644695199141647,3.8277919676361933,6.1601245284255945,4.234413692660874,2.997559533747445,3.126921122605401,2.7794882298731993,0.0,0.0,1.7724522526883888,3.854038957243399
2008-05-01,6.364710808567393,3.8490672486022937,2.827602744512674,3.5345830726666514,3.5637787180043907,0.0,0.0,1.9361755180950015,3.9330495531629834,5.804070902664193,4.6318163419812235,3.3122624588304577,2.6162912802284657,1.8376838506753934,0.0,0.0,1.5198948681159026,3.7521824562380144,6.110592423720486,4.194686145736062,3.0467904293629617,3.1974008099950213,2.9310529267475336,0.0,0.0,1.7518385218824677,3.8690215498336173
2008-06-01,6.045822966012223,3.882061511022993,3.0793802593285777,3.6318608532466374,3.4306012642237795,0.0,0.0,1.8335997613224753,3.951713076126298,5.922768030418963,4.681210099793212,3.322149300186264,2.7101047331030292,1.846795523030324,0.0,0.0,1.588736571078813,3.8061639135010084,6.031538953890781,4.182346731626406,3.164184436922242,3.2512237545823472,2.829213251245629,0.0,0.0,1.756123027807195,3.875602936195281
2008-07-01,5.998560286730073,3.926353153790254,2.9868911264476754,3.561635934147959,3.2907673597432083,0.0,0.0,1.794944954426179,3.8604200920283103,6.275614784353774,4.623566644434227,3.3500904764056254,2.5967611151702448,1.924691976592733,0.0,0.0,1.8089401459511565,3.8465803900309767,6.10698921407066,4.203375939887178,3.105170394144924,3.1504152804514893,2.7137717091858296,0.0,0.0,1.7992047201750563,3.848645250675832
2008-08-01,6.766665258475033,4.152986677294274,3.08488227633972,3.467619387972497,3.3028409346390504,0.0,0.0,2.1247029917953952,4.019656545884584,6.124553543214797,4.664644713677032,3.2226183818324694,2.5045564552195474,1.9859619917632185,0.0,0.0,1.711916319174168,3.82558727700991,6.4609254421313995,4.349896021189012,3.123176066523485,3.06813026630749,2.801102207461974,0.0,0.0,1.9396716292498728,3.976328863271425
2008-09-01,6.628711689130822,4.132138368134624,3.1703945169798455,3.574454504203677,3.21202994143924,0.0,0.0,2.076743895674357,4.070428788295058,6.078963822110497,4.660111999884299,3.3734286753154588,2.5842685224413935,1.8719804909005529,0.0,0.0,1.731284650023453,3.8126515506053935,6.38705772310781,4.356395014618623,3.247536430788447,3.194109603471764,2.6705383631590256,0.0,0.0,1.9209076575944388,3.961722100057566
2008-10-01,6.6202819909762525,4.3206523261853,3.2087331720044565,3.6799947394700165,3.378796688288066,0.0,0.0,1.9870752091466672,4.175711496724962,5.971556524271362,4.666086428072324,3.702596466289833,2.707731988467316,1.7097862680162872,0.0,0.0,1.7258955132106961,3.8362455216896763,6.276364485592254,4.453094603956074,3.404312971996813,3.27472816171061,2.726900152618159,0.0,0.0,1.845892351880849,4.026169931924658
2008-11-01,6.670052536357289,4.36697793799671,3.35273887001586,3.838023144053029,3.5602026944065956,0.0,0.0,2.0058410892332277,4.294477349762621,6.459229817496091,4.664241413288045,3.5969011181491464,2.8367130161217626,2.0003676258247514,0.0,0.0,1.919353804810792,4.002577844701886,6.608930724445905,4.460469492855185,3.429673423648704,3.455652628862577,2.9755287908616115,0.0,0.0,1.9850226150768675,4.2099791931209225
2008-12-01,7.038690441249114,4.702667131112396,3.5942980462566942,4.231892548487886,3.795200077641052,0.0,0.0,2.09583031542178,4.5839375896497385,6.480948803392078,4.867749276012573,3.764161573019928,3.165655803664584,2.198692795747086,0.0,0.0,1.8729375271726956,4.1914670439721675,6.748798299933831,4.713618966804132,3.635881112074121,3.8030437945004785,3.154594490135368,0.0,0.0,1.9897784085687635,4.436360026045512
2009-01-01,6.910499615386383,4.677558625081462,3.377983182107279,3.8380194600626334,3.501014387122883,0.0,0.0,2.0252756830323797,4.393471569833859,6.571644990607723,4.9940424828590695,3.852856162557158,3.015986418608849,2.012991419608942,0.0,0.0,1.8412023197660887,4.206447759990101,6.7860584053049635,4.805740833473275,3.5662847405221445,3.5228165555698,2.8958442451030972,0.0,0.0,1.9586867751583341,4.307248511546854
