date,gender_group,age_group,value
2009-01-01,male,total,1950.893387545474
2009-02-01,male,total,1756.004964690777
2009-03-01,male,total,2286.4229402953133
2009-04-01,male,total,2158.8413438904345
2009-05-01,male,total,2121.6719024181466
2009-06-01,male,total,1992.0811470147657
2009-07-01,male,total,1978.0170340252514
2009-08-01,male,total,1823.311791140595
2009-09-01,male,total,1790.1606676653114
2009-10-01,male,total,1972.9941365289963
2009-11-01,male,total,1829.339268136101
2009-12-01,male,total,1812.2614166488338
2010-01-01,male,total,1824.3273927989867
2010-02-01,male,total,1797.1136692599964
2010-03-01,male,total,2150.892075266872
2010-04-01,male,total,1849.5252849647186
2010-05-01,male,total,1946.285190881129
2010-06-01,male,total,1912.0160575357336
2010-07-01,male,total,1976.5226614800072
2010-08-01,male,total,1747.725800615162
2010-09-01,male,total,1754.7812104215668
2010-10-01,male,total,1709.4250045232495
2010-11-01,male,total,1956.3643477474218
2010-12-01,male,total,1658.0213045051564
2011-01-01,male,total,1640.8585429271463
2011-02-01,male,total,1571.7035851792589
2011-03-01,male,total,1823.1761588079403
2011-04-01,male,total,1924.8129906495324
2011-05-01,male,total,2347.0773538676935
2011-06-01,male,total,1992.9201460073004
2011-07-01,male,total,1823.1761588079403
2011-08-01,male,total,1712.1091054552728
2011-09-01,male,total,1624.0937046852343
2011-10-01,male,total,1609.424471223561
2011-11-01,male,total,1509.883244162208
2011-12-01,male,total,1375.7645382269113
2012-01-01,male,total,1583.0045848476377
2012-02-01,male,total,1488.1751747274252
2012-03-01,male,total,1808.2244338831424
2012-04-01,male,total,1693.9980989656137
2012-05-01,male,total,1711.2398098965614
2012-06-01,male,total,1633.6521107072967
2012-07-01,male,total,1614.2551859099804
2012-08-01,male,total,1558.2196253844004
2012-09-01,male,total,1589.470226446743
2012-10-01,male,total,1688.6100642996926
2012-11-01,male,total,1498.9512440592675
2012-12-01,male,total,1405.1994408722394
2013-01-01,male,total,1715.0494244315903
2013-02-01,male,total,1470.810892846916
2013-03-01,male,total,1713.9734837638166
2013-04-01,male,total,1669.8599163850868
2013-05-01,male,total,1750.555466468129
2013-06-01,male,total,1569.7974342821144
2013-07-01,male,total,1574.10119695321
2013-08-01,male,total,1488.0259435312983
2013-09-01,male,total,1580.5568409598534
2013-10-01,male,total,1518.1522822289674
2013-11-01,male,total,1366.444648072848
2013-12-01,male,total,1369.6724700761697
2014-01-01,male,total,1491.790174443691
2014-02-01,male,total,1314.9615977316157
2014-03-01,male,total,1547.5179683165875
2014-04-01,male,total,1461.7829008198237
2014-05-01,male,total,1555.0197867225545
2014-06-01,male,total,1404.9834186032176
2014-07-01,male,total,1412.4852370091844
2014-08-01,male,total,1456.424459101276
2014-09-01,male,total,1549.6613450040068
2014-10-01,male,total,1520.7257597238488
2014-11-01,male,total,1441.4208222893424
2014-12-01,male,total,1229.2265302348517
2015-01-01,male,total,1424.9401654588598
2015-02-01,male,total,1222.7527095491566
2015-03-01,male,total,1619.6391970756108
2015-04-01,male,total,1470.9404861155647
2015-05-01,male,total,1573.638876418906
2015-06-01,male,total,1399.2655678830245
2015-07-01,male,total,1358.6141217212853
2015-08-01,male,total,1324.3813249535049
2015-09-01,male,total,1282.6601038927724
2015-10-01,male,total,1428.1494901558392
2015-11-01,male,total,1335.0790739434362
2015-12-01,male,total,1240.93888283204
2016-01-01,male,total,1267.7387606318348
2016-02-01,male,total,1188.8428275319848
2016-03-01,male,total,1469.8420413122722
2016-04-01,male,total,1293.6771495961689
2016-05-01,male,total,1419.046029590451
2016-06-01,male,total,1263.4156958044457
2016-07-01,male,total,1287.1925523550854
2016-08-01,male,total,1178.0351654635122
2016-09-01,male,total,1208.2966192552356
2016-10-01,male,total,1290.4348509756271
2016-11-01,male,total,1161.8236723608034
2016-12-01,male,total,1092.6546351225788
2017-01-01,male,total,1273.2584484278577
2017-02-01,male,total,1138.1993828974435
2017-03-01,male,total,1322.2718189832501
2017-04-01,male,total,1317.915074933882
2017-05-01,male,total,1403.9607699089038
2017-06-01,male,total,1279.7935645019102
2017-07-01,male,total,1239.4936820452542
2017-08-01,male,total,1285.2394945636204
2017-09-01,male,total,1304.8448427857772
2017-10-01,male,total,1152.35880105789
2017-11-01,male,total,1100.0778724654717
2017-12-01,male,total,1008.5862474287394
2018-01-01,male,total,1120.336
2018-02-01,male,total,1102.9158095238095
2018-03-01,male,total,1426.2780952380951
2018-04-01,male,total,1217.2358095238096
2018-05-01,male,total,1249.8986666666667
2018-06-01,male,total,1204.1706666666666
2018-07-01,male,total,1184.5729523809523
2018-08-01,male,total,1131.223619047619
2018-09-01,male,total,1185.6617142857142
2018-10-01,male,total,1242.2773333333334
2018-11-01,male,total,1096.383238095238
2018-12-01,male,total,1129.0460952380952
2019-01-01,male,total,1209.3458414204586
2019-02-01,male,total,1135.4694845805477
2019-03-01,male,total,1343.9424915534469
2019-04-01,male,total,1263.9941053842283
2019-05-01,male,total,1305.4863058011645
2019-06-01,male,total,1144.5775285745094
2019-07-01,male,total,1220.477895190856
2019-08-01,male,total,1122.3134210337143
2019-09-01,male,total,1175.949680109266
2019-10-01,male,total,1086.893249946086
2019-11-01,male,total,1081.833225504996
2019-12-01,male,total,987.716770900726
2020-01-01,male,total,1213.905282855909
2020-02-01,male,total,1040.923780048942
2020-03-01,male,total,1275.6121347344176
2020-04-01,male,total,1029.7963149560962
2020-05-01,male,total,1090.4915790988916
2020-06-01,male,total,1072.282999856053
2020-07-01,male,total,1192.6619404059306
2020-08-01,male,total,1250.3224413415862
2020-09-01,male,total,1255.3803800201526
2020-10-01,male,total,1349.4580394414854
2020-11-01,male,total,1242.2297394558802
2020-12-01,male,total,1041.9353677846552
2021-01-01,male,total,1074.0
2021-02-01,male,total,1033.0
2021-03-01,male,total,1206.0
2021-04-01,male,total,1119.0
2021-05-01,male,total,1107.0
2021-06-01,male,total,1103.0
2009-01-01,male,0_19,33.43025090717459
2009-02-01,male,0_19,19.138120416189665
2009-03-01,male,0_19,30.382881642753926
2009-04-01,male,0_19,43.372137635513354
2009-05-01,male,0_19,20.146596699485816
2009-06-01,male,0_19,33.25321031033051
2009-07-01,male,0_19,33.30555919981026
2009-08-01,male,0_19,37.32385231191768
2009-09-01,male,0_19,20.188948399020138
2009-10-01,male,0_19,28.36158838463149
2009-11-01,male,0_19,34.14583764990444
2009-12-01,male,0_19,28.136316249844484
2010-01-01,male,0_19,46.37107574886823
