date,age_group,gender_group,value
2008-01-01,total,total,3.988067872710898
2008-02-01,total,total,3.9436011791866767
2008-03-01,total,total,3.8184449632909403
2008-04-01,total,total,3.8540389824051595
2008-05-01,total,total,3.8690215758274635
2008-06-01,total,total,3.875602959960312
2008-07-01,total,total,3.8486452680961496
2008-08-01,total,total,3.9763288700638117
2008-09-01,total,total,3.961722092741454
2008-10-01,total,total,4.026169908680995
2008-11-01,total,total,4.209979157577257
2008-12-01,total,total,4.436359982207484
2009-01-01,total,total,4.307248522377502
2009-02-01,total,total,4.547780811600745
2009-03-01,total,total,4.844618878267524
2009-04-01,total,total,4.925601361990677
2009-05-01,total,total,5.07570717092954
2009-06-01,total,total,5.149903287871112
2009-07-01,total,total,5.401043403340458
2009-08-01,total,total,5.3123584392432015
2009-09-01,total,total,5.429613651427003
2009-10-01,total,total,5.360544037953975
2009-11-01,total,total,5.260421891612951
2009-12-01,total,total,5.119494172023521
2010-01-01,total,total,5.016378612972838
2010-02-01,total,total,5.037105606108975
2010-03-01,total,total,5.065276329750199
2010-04-01,total,total,5.097217329564594
2010-05-01,total,total,5.080619785046714
2010-06-01,total,total,5.1325031722639425
2010-07-01,total,total,4.956719852035762
2010-08-01,total,total,5.04641346544196
2010-09-01,total,total,5.090988433773811
2010-10-01,total,total,5.100138947109503
2010-11-01,total,total,5.014255800948466
2010-12-01,total,total,4.904260839761095
2011-01-01,total,total,4.9023745524779185
2011-02-01,total,total,4.705492799095537
2011-03-01,total,total,4.690083192080592
2011-04-01,total,total,4.673965759327488
2011-05-01,total,total,4.5916332862443445
2011-06-01,total,total,4.630223273242321
2011-07-01,total,total,4.64377484565175
2011-08-01,total,total,4.487779235048756
2011-09-01,total,total,4.262905029473713
2011-10-01,total,total,4.453442873457299
2011-11-01,total,total,4.473620206423999
2011-12-01,total,total,4.486563659083284
2012-01-01,total,total,4.529414174644544
2012-02-01,total,total,4.479628194033006
2012-03-01,total,total,4.5102054342000555
2012-04-01,total,total,4.478926285385173
2012-05-01,total,total,4.411777016016687
2012-06-01,total,total,4.376277486347365
2012-07-01,total,total,4.3560352351113725
2012-08-01,total,total,4.204164379715753
2012-09-01,total,total,4.303858200732912
2012-10-01,total,total,4.137716624909014
2012-11-01,total,total,4.155817166077394
2012-12-01,total,total,4.286978136751444
2013-01-01,total,total,4.198971701218115
2013-02-01,total,total,4.2435309675204
2013-03-01,total,total,4.129624502339949
2013-04-01,total,total,4.102089835303312
2013-05-01,total,total,4.135076206558783
2013-06-01,total,total,3.8924224503936964
2013-07-01,total,total,3.8381804237713824
2013-08-01,total,total,4.100833470834294
2013-09-01,total,total,3.9606936691558627
2013-10-01,total,total,4.040561001564799
2013-11-01,total,total,3.948229227644225
2013-12-01,total,total,3.682433304819896
2014-01-01,total,total,3.702224234048527
2014-02-01,total,total,3.615590160651271
2014-03-01,total,total,3.6676309991082245
2014-04-01,total,total,3.642958725746872
2014-05-01,total,total,3.5566713693456222
2014-06-01,total,total,3.699414462303409
2014-07-01,total,total,3.7548443289305893
2014-08-01,total,total,3.463508356324136
2014-09-01,total,total,3.508525996324864
2014-10-01,total,total,3.553790634701836
2014-11-01,total,total,3.4111842401446575
2014-12-01,total,total,3.4526333902712594
2015-01-01,total,total,3.508533816809915
2015-02-01,total,total,3.5288145914775555
2015-03-01,total,total,3.416603955978838
2015-04-01,total,total,3.391573363169989
2015-05-01,total,total,3.3525581320169136
2015-06-01,total,total,3.3883773633570726
2015-07-01,total,total,3.3643546440724235
2015-08-01,total,total,3.3457662163724975
2015-09-01,total,total,3.3924666725408796
2015-10-01,total,total,3.1795508513681243
2015-11-01,total,total,3.28184822944081
2015-12-01,total,total,3.2772907573008205
2016-01-01,total,total,3.211624452352026
