,lower_bound,upper_bound
2008-01-01,741.897109124794,919.0231428897882
2008-02-01,668.9283978018977,842.6199896928479
2008-03-01,782.5629251128188,976.5407729380069
2008-04-01,784.9067425786445,976.7483798559347
2008-05-01,937.7821938505417,1127.1963227521355
2008-06-01,885.7535453185102,1073.476242865605
2008-07-01,904.9560165387959,1087.8212310050462
2008-08-01,843.3853160014517,1014.6921675574595
2008-09-01,811.9218671880581,978.9169161137061
2008-10-01,782.5305476612757,947.7813785107
2008-11-01,791.546328516194,938.2345593372178
2008-12-01,741.0085968322571,869.3633089889222
2009-01-01,731.3303046696433,855.3311318951326
2009-02-01,666.476352400917,769.17351854958
2009-03-01,784.1581150923927,878.4355760929556
2009-04-01,784.2261264252995,875.36336519101
2009-05-01,922.848438247479,1008.7645739645143
2009-06-01,869.3311790267749,953.6072333021825
2009-07-01,881.9530252663262,967.1897705684482
2009-08-01,823.1082828225481,907.2145835919291
2009-09-01,789.3357782644924,877.3923983173426
2009-10-01,763.8323366164304,849.23771017985
2009-11-01,767.6271623197258,852.2493676598674
2009-12-01,714.339422674835,797.8287351418622
2010-01-01,715.7197082781087,784.5196211463045
2010-02-01,647.1215789378866,716.2123242526341
2010-03-01,759.6886660350472,831.5206645319474
2010-04-01,756.7461930697058,828.8487702002693
2010-05-01,881.7753507004788,953.9578252083581
2010-06-01,826.8913237155834,900.0463956578631
2010-07-01,847.9855741954224,919.8044550650192
2010-08-01,789.6376597533342,862.8993331588074
2010-09-01,761.6017170393309,837.3646718956063
2010-10-01,735.1612739726887,810.411200787216
2010-11-01,738.0632867163362,812.3526703730516
2010-12-01,684.5761766112065,757.410086983787
2011-01-01,689.2018959782907,750.2905029551624
2011-02-01,628.6584975683304,687.9660998009626
2011-03-01,738.8010701883916,799.609654114958
2011-04-01,734.6527013737419,795.5028245955865
2011-05-01,846.9777482563711,908.2812782041219
2011-06-01,792.5973154099447,853.464067197563
2011-07-01,810.7243478763764,871.6149590338573
2011-08-01,761.2403655510973,822.6403086906002
2011-09-01,740.3072845080457,806.1644823908645
2011-10-01,714.3235993054773,775.8004805886542
2011-11-01,714.6325732821681,775.5078951702344
2011-12-01,658.6641601645892,719.4554557165725
2012-01-01,667.831487484972,718.9913389232005
2012-02-01,607.7218542193596,658.8949424699231
2012-03-01,713.758608028648,765.7612383299468
2012-04-01,707.9630577476761,759.6346458094778
2012-05-01,806.9204737443392,858.2220221130115
2012-06-01,753.1410776254543,804.2979377683541
2012-07-01,772.3698523406157,823.7325262407638
2012-08-01,727.5379088937193,779.1080502796538
2012-09-01,707.684273716547,759.1859073996151
2012-10-01,686.0981227626133,738.2539610472539
2012-11-01,685.7500565467051,737.164336679408
2012-12-01,627.6825020572287,679.7671335671353
2013-01-01,644.6019753698167,688.2250612677417
2013-02-01,585.9792078733813,630.9489637684203
2013-03-01,691.6679423302483,735.2213536853658
2013-04-01,683.6006352050066,727.1098519651729
2013-05-01,766.9416376739915,811.1050996487685
2013-06-01,715.1151257242831,760.8728451073201
2013-07-01,735.4756435078344,781.5675534369196
2013-08-01,689.3349776818762,734.4528547762885
