,lower_bound,upper_bound
2008-01-01,1542.4692420570298,1805.8036376271104
2008-02-01,1334.9984259179514,1596.43633640709
2008-03-01,1630.30878883182,1930.4497423517423
2008-04-01,1565.3312499067108,1859.846233068771
2008-05-01,1641.6597049785103,1937.4660896921707
2008-06-01,1517.8688398595295,1798.7965880798502
2008-07-01,1477.2379710321527,1756.9180922920189
2008-08-01,1479.644751246603,1744.210985983028
2008-09-01,1537.875372041908,1802.3001378765387
2008-10-01,1677.9089086746499,1926.4280921873797
2008-11-01,1499.1271183404372,1723.8517307453274
2008-12-01,1416.7370815547608,1623.2770210656001
2009-01-01,1596.734484704807,1787.563934273699
2009-02-01,1448.608014537681,1615.3566047061017
2009-03-01,1813.5665210002471,1982.1054683719963
2009-04-01,1750.0682050143091,1914.3154193199325
2009-05-01,1848.2723167201264,2008.3778200195686
2009-06-01,1727.8310764567443,1885.482372002349
2009-07-01,1728.023682146368,1890.0703504524752
2009-08-01,1691.6847040119578,1851.8332051784932
2009-09-01,1763.6217640643642,1927.9026402529446
2009-10-01,1861.8811672519976,2026.9876888844717
2009-11-01,1647.304117464811,1811.3793276953188
2009-12-01,1513.421053274542,1673.5957515247155
2010-01-01,1701.4523724510057,1826.7498661180168
2010-02-01,1519.2062790968987,1645.5139691876154
2010-03-01,1835.498291159449,1972.2435728204912
2010-04-01,1758.558993859678,1896.0634414653684
2010-05-01,1832.3064312533634,1969.4013508824191
2010-06-01,1705.8180184689327,1846.7986055663469
2010-07-01,1656.179701324646,1793.4655571240883
2010-08-01,1640.0230547320998,1779.9758325614102
2010-09-01,1700.580941153533,1842.5252013553638
2010-10-01,1793.1579549116746,1939.0521259688867
2010-11-01,1595.423705707435,1740.2616024436904
2010-12-01,1472.2306730185787,1613.2582985011318
2011-01-01,1666.1306958347727,1778.257901155544
2011-02-01,1465.102355032973,1573.2637296184255
2011-03-01,1769.7332545451368,1885.238301894517
2011-04-01,1682.390902846558,1797.9021193676797
2011-05-01,1747.107822002175,1863.0219770373033
2011-06-01,1621.0128056514407,1736.7665344672753
2011-07-01,1600.6213096902159,1716.920633804604
2011-08-01,1549.9573866307826,1665.5509210502557
2011-09-01,1569.4688979458676,1689.8119224788454
2011-10-01,1676.5799460835538,1792.1051801206063
2011-11-01,1507.53222043952,1623.690893207309
2011-12-01,1405.6376356705696,1522.3125188452054
2012-01-01,1597.987649237939,1690.947859480883
