,lower_bound,upper_bound
2008-01-01,396.47761336964294,526.4302477167705
2008-02-01,338.35410894555343,462.79107977447336
2008-03-01,403.1000027052915,543.2190626928575
2008-04-01,428.16913922549367,565.5056714840433
2008-05-01,449.87309938972436,585.2171434820003
2008-06-01,413.87315975422143,545.512566719222
2008-07-01,382.4217952860527,514.8117811523828
2008-08-01,350.8691377429004,470.97679495341345
2008-09-01,341.71072278289284,455.26331562587916
2008-10-01,371.8157941791237,484.8215064620872
2008-11-01,294.87633467212635,396.80381491536053
2008-12-01,319.1301275901995,411.2492812920336
2009-01-01,410.59730853790074,502.40022600448856
2009-02-01,370.0357284243142,444.80456183061443
2009-03-01,454.79483407498344,525.7468307983482
2009-04-01,473.23815928595076,541.7292204932492
2009-05-01,499.7236328521066,565.1797292096113
2009-06-01,463.4223103611879,527.9423872714011
2009-07-01,443.4443174151314,509.655891758552
2009-08-01,402.57758019720484,468.7862536059695
2009-09-01,392.97325887781017,464.6789258234355
2009-10-01,418.74177932250984,487.4246552401099
2009-11-01,338.85045513393516,406.1634934677079
2009-12-01,346.47707836019003,411.6877050969457
2010-01-01,435.6864387597615,487.94066075155854
2010-02-01,384.9023584067907,437.58325958492463
2010-03-01,458.26906537320446,514.066055513406
2010-04-01,466.31934517815046,522.5375310412019
2010-05-01,487.5364877045948,543.8787445599949
2010-06-01,448.7318424844367,506.5738085737855
2010-07-01,424.00827856628575,479.78480870003114
2010-08-01,389.2476985317793,447.2528836807261
2010-09-01,380.7000654513182,442.47521540580044
2010-10-01,405.3413228516861,466.3520937372207
2010-11-01,335.2417734358706,394.80941621938194
2010-12-01,340.64068824706004,397.98956236750934
2011-01-01,422.4237758277941,468.4757649091025
2011-02-01,370.9214277360186,415.96809358116116
2011-03-01,442.8799168520983,489.86329267819553
2011-04-01,442.21398658245664,489.19879918405627
2011-05-01,462.41656025019165,509.49528707662887
2011-06-01,423.3325536926875,470.37387275055903
2011-07-01,407.1187332385895,454.2873627233692
2011-08-01,369.6082292707398,416.6122166311492
2011-09-01,357.39853764793327,405.51850209756435
2011-10-01,384.94256625361953,431.9306436070379
2011-11-01,326.22099469013915,373.3567799481485
2011-12-01,330.5874423930034,377.8438531609626
2012-01-01,403.0735239690222,441.4583957021614
2012-02-01,359.0853894180795,397.7781332110898
2012-03-01,431.76661517285754,471.6725723801251
2012-04-01,423.10642535614403,462.8829352229413
2012-05-01,444.6303128579552,484.06103313563966
2012-06-01,402.88463651087307,442.3031218887801
2012-07-01,390.4929147244513,429.85383921747444
2012-08-01,355.6771971247891,394.749267682514
2012-09-01,353.93655992581057,394.49719081534465
2012-10-01,370.19871246733953,409.2875360763326
2012-11-01,320.8828526133849,359.95881448418686
2012-12-01,324.62551364770013,365.0954695514222
2013-01-01,384.1465515302594,416.25730187953087
2013-02-01,346.43857014770384,379.8599687035423
2013-03-01,415.6153796122913,447.9481041319395
2013-04-01,399.33846695081206,431.6516368704856
2013-05-01,423.668843345082,456.7008878871586
2013-06-01,375.75736579324365,408.80166480162
2013-07-01,366.70505078349817,400.46145323646243
2013-08-01,344.9238940932953,379.20472504871884
2013-09-01,340.44138196818676,373.27636466158606
2013-10-01,359.761238191341,393.8508670019868
2013-11-01,317.57451871158895,350.33642482272074
2013-12-01,307.76430858201263,341.9158526799688
2014-01-01,358.89702182519505,388.6189463030552
2014-02-01,322.16129949265667,352.93259365065717
2014-03-01,395.38729736492894,424.0122205338673
2014-04-01,371.52760513348136,400.1285174753004
2014-05-01,393.2875576807259,422.8688370727238
2014-06-01,355.96249975418795,383.28765269575416
2014-07-01,354.5933675956556,382.2803851380226
2014-08-01,319.96920606864825,349.73437474937936
2014-09-01,322.66805352257575,350.5921428851409
2014-10-01,339.88148537180916,367.3342145475343
2014-11-01,303.963884241017,333.66277309924453
2014-12-01,300.47773493280243,328.9006247372061
2015-01-01,342.75795561283195,367.83311698195433
2015-02-01,313.9094022550399,338.4847591670486
2015-03-01,380.1546489009103,406.19318528074155
2015-04-01,348.63359532088225,374.6311828825351
2015-05-01,372.88485361263344,398.7733473162129
2015-06-01,331.1100235872275,356.6142777518096
2015-07-01,332.42899293602756,357.9732408184429
2015-08-01,308.58308429965643,334.06356495198577
2015-09-01,312.2749768771263,338.2315773063892
2015-10-01,319.89547470486883,346.8511677835108
2015-11-01,301.6446030221247,327.1731115232074
2015-12-01,293.2280006082709,318.7169976784146
2016-01-01,321.54160629919505,346.6876967588915
2016-02-01,297.171360566953,321.8129677431094
2016-03-01,365.4358699452372,393.1425115845251
2016-04-01,326.2260232307419,354.0055443741383
2016-05-01,349.5703154436767,376.9265733451108
2016-06-01,304.71243180083,332.06613403084714
2016-07-01,308.0844970182548,336.3897414599904
2016-08-01,291.41331866025314,319.22086900894703
2016-09-01,292.1793299989716,319.87283049381955
2016-10-01,304.17151818766536,331.6298884178859
2016-11-01,293.70178945677065,321.0844794619132
2016-12-01,280.9920933509232,308.3172064679774
2017-01-01,302.4296131561512,329.7993681073387
2017-02-01,275.80424612082425,304.72889518813304
2017-03-01,340.0657319163281,373.25522845343517
2017-04-01,293.3091849830521,326.36261061450955
2017-05-01,326.07854542053093,362.0207685312918
2017-06-01,277.0021434392981,309.2445421685298
2017-07-01,288.3419655557294,320.57395842440985
2017-08-01,268.0859356705151,300.4155536427741
2017-09-01,276.32783575825874,308.56239981843146
2017-10-01,285.0684862016815,317.29905483123014
2017-11-01,279.03345228727966,312.0693068946155
2017-12-01,266.3391490749571,298.6266436716266
2018-01-01,269.37065553709715,305.6685514569997
2018-02-01,257.67905993267675,290.8815164529568
2018-03-01,318.93624015528377,358.80727968652826
2018-04-01,264.5112103658941,304.2450641831114
2018-05-01,284.5023699492883,327.48543276189025
2018-06-01,248.11360358622733,287.1879140964679
2018-07-01,263.65692346182027,302.7267219168284
2018-08-01,246.43769221161827,285.6084660008177
2018-09-01,252.8705358991297,293.07948705179524
2018-10-01,261.4078479499448,300.8531208344743
2018-11-01,270.61567218369646,309.67667736976045
2018-12-01,251.9310095641403,290.99728300498583
2019-01-01,255.36954669350916,293.64336431822267
2019-02-01,241.5640083775324,279.70670942198916
2019-03-01,305.2371316333238,354.3454034137756
2019-04-01,242.419078161009,291.1605198650143
2019-05-01,267.07419052114597,314.57550703885545
2019-06-01,220.68670027099373,267.8543945513313
2019-07-01,241.46693699996086,288.86239509828005
2019-08-01,226.70698460934673,273.78219006103194
2019-09-01,240.27906873120244,287.85857293069887
2019-10-01,245.06425503109236,292.933980557016
2019-11-01,260.9066931067622,308.50862379920886
2019-12-01,239.18602649059568,286.67905267019825
2020-01-01,234.6188693545947,282.5974545820303
2020-02-01,227.8497910987878,276.43241957321726
2020-03-01,285.7802780178218,346.7446345825378
2020-04-01,216.03151153586128,278.1248526813151
2020-05-01,243.68051026837566,307.94021276275225
2020-06-01,197.54424354213654,261.27769813942757
2020-07-01,222.3835069460985,286.5784982011627
2020-08-01,211.52034326709781,275.90567365998913
2020-09-01,225.63987110322932,288.51026234296876
2020-10-01,228.20424458043112,293.0706640547287
2020-11-01,253.8679313385074,318.1417676111193
2020-12-01,229.52022282769468,295.10213246866846
2021-01-01,213.554170832178,278.43668296562913
2021-02-01,210.79623175591797,273.7419709983207
2021-03-01,267.09724122793517,346.7271013580951
2021-04-01,189.3824619010885,270.3763081874022
2021-05-01,217.27954359288015,300.9705237159277
2021-06-01,170.62583684022036,253.17899075319514
2021-07-01,199.9992494571286,282.93417218821736
2021-08-01,191.77242765294199,274.422277728893
2021-09-01,208.47108687079694,288.28614776706354
2021-10-01,208.52085273285195,290.8686999887167
2021-11-01,243.69572463104268,324.81262622213865
2021-12-01,216.03559895240306,298.63348161349035
2022-01-01,190.77327836178125,272.48837853449425
2022-02-01,192.78171729873648,271.3700785330368
2022-03-01,247.1294355149949,345.1098513649817
2022-04-01,161.65859591711984,261.6959813006172
2022-05-01,190.04433125126468,293.7063685428027
2022-06-01,142.91410129373293,245.2465501046351
2022-07-01,176.8987872396818,279.88063848236266
2022-08-01,171.402817449585,273.9368136511297
2022-09-01,190.75265840164369,289.4895643775286
2022-10-01,188.39010736444118,290.4936260786999
2022-11-01,233.14783776991942,333.7403513074871
2022-12-01,202.23208936341896,304.6157276354478
2023-01-01,167.63481408676486,269.2804819141876
2023-02-01,174.47371501925454,271.92533473902006
2023-03-01,226.90284498403688,345.7579849319558
2023-04-01,133.63162027591216,254.69830070624414
2023-05-01,162.49209480886532,287.5117119987449
2023-06-01,114.8632943068533,238.15483058198706
2023-07-01,153.44652162985017,277.42973301165796
2023-08-01,150.6775055378373,273.8070512817643
2023-09-01,172.6487771885794,290.9530213105329
2023-10-01,167.89603459102585,290.231054730935
2023-11-01,222.21166744821625,342.6801225892929
2023-12-01,188.06735905857727,310.5829571091257
2024-01-01,144.15749441622597,266.03520342525906
2024-02-01,155.8003972566347,272.46966916399674
2024-03-01,206.38396857927063,346.44757952997446
2024-04-01,105.34493829984707,247.83491402534582
2024-05-01,134.72169867699245,281.5352151441533
2024-06-01,86.5920976827781,231.2835006965273
2024-07-01,129.7809529435107,275.19213061745404
2024-08-01,129.748813654539,273.8806688839423
2024-09-01,154.33160098967102,292.6297732293704
2024-10-01,147.20712667592056,290.1633185248546
2024-11-01,211.07519085187982,351.8202001457174
2024-12-01,173.71497322706136,316.7378421094778
