,lower_bound,upper_bound
2008-01-01,2234.0521479894073,2684.277286224063
2008-02-01,2065.7207067442655,2507.216060691751
2008-03-01,2477.493918875288,2970.5535865985057
2008-04-01,2383.2628235823195,2870.8925967379455
2008-05-01,2761.3357788598805,3242.795226448682
2008-06-01,2535.351985846696,3012.51209415267
2008-07-01,2515.83014602534,2980.6433342062023
2008-08-01,2341.7487243714636,2777.182462057814
2008-09-01,2306.9311251557524,2731.404972344502
2008-10-01,2302.5970125860563,2722.637345345124
2008-11-01,2370.078588270774,2742.935856043656
2008-12-01,2158.625686479936,2484.8821762617736
2009-01-01,2298.204654958527,2613.394287964448
2009-02-01,2195.1756781023983,2456.21492141119
2009-03-01,2693.956997097807,2933.594739833186
2009-04-01,2605.9331664935025,2837.588982692021
2009-05-01,2978.1011484830165,3196.485782616684
2009-06-01,2766.598877461408,2980.814695310437
2009-07-01,2786.470184558959,3003.1279204159746
2009-08-01,2583.7241892924026,2797.5085217497103
2009-09-01,2566.843867333711,2790.6692593181074
2009-10-01,2543.212462647471,2760.2988236916376
2009-11-01,2532.743460949336,2747.8391376745717
2009-12-01,2262.24847197963,2474.4645220327498
2010-01-01,2422.77262560922,2597.6506467491427
2010-02-01,2260.095951702937,2435.7132209272168
2010-03-01,2692.8849571092346,2875.470039406559
2010-04-01,2591.4661819607118,2774.739030496854
2010-05-01,2902.721067998345,3086.19700245819
2010-06-01,2689.1208516037905,2875.0689681916547
2010-07-01,2654.23840277017,2836.7901422376526
2010-08-01,2491.298754278312,2677.5178341845467
2010-09-01,2474.3915028167353,2666.9684272759846
2010-10-01,2458.9649430452687,2650.2378348842917
2010-11-01,2437.5458214908276,2626.377171215533
2010-12-01,2189.2852798586277,2374.417056750665
2011-01-01,2365.024388101545,2520.3015426261827
2011-02-01,2173.1034249730205,2323.853559453845
2011-03-01,2589.011391798459,2743.576773972154
2011-04-01,2478.9692637804214,2633.640232003521
2011-05-01,2750.5336177644817,2906.357071020719
2011-06-01,2541.2835169671384,2695.9967522453276
2011-07-01,2538.308439487546,2693.082321347917
2011-08-01,2356.7992554972643,2512.867775166289
2011-09-01,2306.3830396446474,2473.781165103438
2011-10-01,2322.0797431610163,2478.3438268753107
2011-11-01,2302.6336934015744,2457.368712459176
2011-12-01,2088.0867781900233,2242.6082161859576
2012-01-01,2271.7257170977805,2401.7656140753083
2012-02-01,2099.6839586138776,2229.757501381878
2012-03-01,2511.2587960965384,2643.4408978330357
2012-04-01,2397.6499340075293,2528.9905810509777
