,lower_bound,upper_bound
2008-01-01,769.3854459728733,926.286852262322
2008-02-01,669.4638143897425,826.7814458594005
2008-03-01,799.0959950941686,975.3464068829145
2008-04-01,820.0324593280519,978.1716907659116
2008-05-01,1032.5769973927975,1198.8885200677917
2008-06-01,897.2144111164823,1059.942079804248
2008-07-01,913.1216538841975,1071.271848526508
2008-08-01,863.1093597601492,1017.6267151150633
2008-09-01,842.4238180118597,986.7793544512093
2008-10-01,810.8459399550318,953.6846489427551
2008-11-01,721.0677707687316,853.1113264287694
2008-12-01,718.5580864083186,845.3775112712797
2009-01-01,753.5809931933151,859.8358152223008
2009-02-01,660.995078484356,758.6766524809199
2009-03-01,787.0237369361968,886.1677956967973
2009-04-01,800.4400025998922,901.2702242116801
2009-05-01,992.0084664041357,1090.6716719058945
2009-06-01,865.9696574047568,964.8219178514387
2009-07-01,878.392530549018,977.6309940233306
2009-08-01,827.8664883249387,928.6791962871991
2009-09-01,795.8576756825381,908.2908962563782
2009-10-01,768.4447517779581,877.6991047824961
2009-11-01,689.9347768185055,796.1452239978403
2009-12-01,684.089194463289,786.7738344460238
2010-01-01,723.191421093422,805.1461316158824
2010-02-01,641.203057393885,721.3591996323328
2010-03-01,765.162993644482,851.2274251963997
2010-04-01,769.1543194088963,855.2013079455417
2010-05-01,943.2501577895263,1028.5704694339931
2010-06-01,824.7010763366609,910.8271505884973
2010-07-01,844.8288841176874,929.8998946394908
2010-08-01,794.4916839546513,881.7567166413587
2010-09-01,775.6128837106492,863.697451323939
2010-10-01,743.0410218259822,835.0898798166861
2010-11-01,674.5971876404723,764.3005071371282
2010-12-01,665.3504863520602,750.4635107200584
2011-01-01,703.2688044024405,772.0764333173925
2011-02-01,621.6123974874675,690.4045615228016
2011-03-01,740.3423074991889,812.2958613119287
2011-04-01,746.9887425409665,819.3520503501104
2011-05-01,898.8729289191816,971.3913962102978
2011-06-01,788.5563872344601,860.8827070595521
2011-07-01,805.3400801419733,877.9898332962674
2011-08-01,764.97956592743,836.8930145259196
2011-09-01,751.8199969867512,825.3466128605132
2011-10-01,724.7038046661977,797.4739378856312
2011-11-01,662.9033218768808,734.8005643678956
