,lower_bound,upper_bound
2008-01-01,1787.2294408707592,1982.6369757964192
2008-02-01,1648.6911366549953,1848.3929983356438
2008-03-01,2042.3897216878747,2271.1603226584443
2008-04-01,1924.3275447688789,2159.966186572146
2008-05-01,2059.992152846766,2290.7986210869553
2008-06-01,1898.1272098089441,2128.044995000581
2008-07-01,1844.3665773265109,2087.4002143561856
2008-08-01,1707.4916833512548,1933.745147594379
2008-09-01,1687.1598952455686,1909.354726913463
2008-10-01,1775.6293331080374,1989.9102396826543
2008-11-01,1741.0176356276927,1943.6560500502721
2008-12-01,1615.8509656476563,1792.3191397161781
2009-01-01,1761.2533462426393,1907.7585967452444
2009-02-01,1641.8838464284454,1777.1628978177505
2009-03-01,2047.2365145986105,2180.6919667140046
2009-04-01,1947.326856627599,2074.298837942963
2009-05-01,2075.153683685929,2200.9969253124314
2009-06-01,1920.4028858948245,2044.6458802737016
2009-07-01,1893.424827521679,2017.8339392865566
2009-08-01,1753.3165740006045,1877.7577359471472
2009-09-01,1734.2787013568663,1858.1465627843245
2009-10-01,1801.9827258996127,1925.6361847131009
2009-11-01,1752.6010929222787,1876.417681987704
2009-12-01,1606.6252929768473,1730.2768859554515
2010-01-01,1750.9599681049594,1858.4290090409122
2010-02-01,1621.8770899399772,1732.040855053611
2010-03-01,2000.1403570045047,2114.234215452342
2010-04-01,1883.7016429701932,1991.349473601262
2010-05-01,2004.6092659551307,2113.0620131066726
2010-06-01,1848.6601651460205,1957.575473058726
2010-07-01,1811.6883188135014,1918.3331205969505
2010-08-01,1686.5874133885059,1793.7392948658803
2010-09-01,1682.5707117939746,1793.830716913239
2010-10-01,1740.9708871038372,1851.4184244541377
2010-11-01,1683.3929734810129,1792.5967207637748
2010-12-01,1547.5450064659371,1655.5595525014623
2011-01-01,1690.7482877797129,1794.1061318987922
2011-02-01,1555.3583149379292,1647.4414916059636
2011-03-01,1909.1665072815665,2000.4932121038885
2011-04-01,1801.3456805113312,1893.3393707880125
2011-05-01,1913.2587112067988,2004.617063089591
2011-06-01,1757.596012301297,1848.7008835863753
2011-07-01,1730.1162225671653,1821.2487837225538
2011-08-01,1608.062667248075,1701.2525135878657
2011-09-01,1600.9940597334587,1696.762095517853
2011-10-01,1658.456059083126,1750.0907728751636
2011-11-01,1598.57663637899,1689.890158005877
2011-12-01,1478.3545421578754,1569.70854123092
2012-01-01,1619.8199433552636,1700.1119361277151
2012-02-01,1492.7466723736932,1573.9335057900714
2012-03-01,1828.1569213211856,1907.6947771018008
2012-04-01,1718.881195184226,1798.405024380225
2012-05-01,1824.0001535523525,1902.3569124831633
2012-06-01,1670.9913223519093,1749.228590409121
2012-07-01,1648.2013106085608,1726.6090893223757
2012-08-01,1544.8082677100288,1623.5339468028155
2012-09-01,1551.4879720017395,1629.8788045823824
2012-10-01,1583.177258035387,1663.5302677991178
2012-11-01,1518.429590795716,1598.0353934432599
2012-12-01,1411.805144624608,1490.4878602725482
2013-01-01,1555.7427503253878,1630.9579762545434
2013-02-01,1430.2091791825728,1507.7169027830646
2013-03-01,1744.9145705076792,1818.3977988743047
2013-04-01,1632.4799977398457,1702.4118235408282
2013-05-01,1735.3771063208872,1805.6441368363055
2013-06-01,1584.39462252165,1653.7142501391531
2013-07-01,1567.3656511429833,1636.6927881236068
2013-08-01,1483.6399387624242,1555.0132251212344
2013-09-01,1492.077544391284,1561.4590239755676
2013-10-01,1518.448638082144,1587.8067282684037
2013-11-01,1444.5684961588875,1514.0125258415794
2013-12-01,1327.1831032626717,1401.7137654451587
2014-01-01,1473.7915099369866,1539.2760302835377
2014-02-01,1341.1431709990588,1411.442667987029
2014-03-01,1640.690563308695,1709.993854989391
2014-04-01,1537.1653031305557,1604.209503022749
2014-05-01,1628.0714098738156,1697.949258544587
2014-06-01,1491.6409700313484,1557.9981649161641
2014-07-01,1476.7293135402492,1544.1813804477251
2014-08-01,1394.1642582451839,1464.9785485615446
2014-09-01,1416.6957312713541,1485.8879398987717
2014-10-01,1439.1465187332954,1505.5079158514134
2014-11-01,1358.8724999612296,1426.5304756361897
2014-12-01,1259.022046999065,1328.076601101829
2015-01-01,1409.5531482962574,1473.5169411962406
2015-02-01,1284.0768473082942,1348.1681506943935
2015-03-01,1557.0206956026109,1626.4371079957805
2015-04-01,1445.4135993241523,1515.968961600004
2015-05-01,1539.9261049027848,1609.3754990080386
2015-06-01,1399.793695125396,1469.1274031172698
2015-07-01,1389.8679002921908,1459.832614332668
2015-08-01,1327.1639682992925,1396.8234463326878
2015-09-01,1356.3905565446973,1425.7377008942356
2015-10-01,1357.2667305414025,1427.5794208161506
2015-11-01,1278.7526736308491,1348.2178916381895
2015-12-01,1193.1778818485739,1262.5168690949906
2016-01-01,1335.6982499584506,1404.6938365994224
2016-02-01,1217.4750303681153,1287.2764318801005
2016-03-01,1464.971680210631,1543.2123370963095
2016-04-01,1360.9416238958097,1440.0423209345513
2016-05-01,1442.9151912890982,1521.1572519531621
2016-06-01,1301.5510919253807,1379.989929455778
