,lower_bound,upper_bound
2008-01-01,2588.1190107045422,2881.0444839250495
2008-02-01,2382.1601680517397,2683.517461469034
2008-03-01,2899.6497503204323,3244.587679132726
2008-04-01,2806.344795815822,3151.5087691509725
2008-05-01,3023.769980858721,3373.4190429870773
2008-06-01,2825.5622662867763,3176.7680614127576
2008-07-01,2783.090896689028,3142.7854001974633
2008-08-01,2561.944950627712,2897.5119678567175
2008-09-01,2525.9758415209753,2862.9051546374258
2008-10-01,2618.4799697214776,2947.1060391281408
2008-11-01,2553.457909518523,2847.06093586843
2008-12-01,2378.9715739105523,2636.2632305132256
2009-01-01,2533.697051281369,2742.57562726674
2009-02-01,2347.297581075607,2535.7569927810646
2009-03-01,2866.4438474277467,3049.5817095417606
2009-04-01,2771.1975813219065,2951.821330462301
2009-05-01,2982.019237476476,3158.57786475684
2009-06-01,2785.8420031996225,2961.154629486188
2009-07-01,2755.3842494167666,2931.424889109029
2009-08-01,2541.272831785894,2716.4573644048064
2009-09-01,2513.210215051441,2691.417568185241
2009-10-01,2588.1489612262503,2764.3179262540298
2009-11-01,2504.2745644364313,2679.8489010319136
2009-12-01,2318.4602256921776,2493.1805780554128
2010-01-01,2466.5054564143966,2619.1106355618085
2010-02-01,2273.3934530699853,2426.3800001499703
2010-03-01,2764.767498683844,2918.4309499168226
2010-04-01,2664.4772021363833,2818.550780754297
2010-05-01,2862.17434246876,3014.945236132625
2010-06-01,2665.061976081135,2819.20011690306
2010-07-01,2642.9195298582654,2793.382160755763
2010-08-01,2447.372205598236,2599.4526968690707
2010-09-01,2428.21402657557,2581.8100401417164
2010-10-01,2488.1146317019197,2642.09578884349
2010-11-01,2403.5810293019463,2556.718088811323
2010-12-01,2225.48716038178,2377.412413285999
2011-01-01,2373.5768791536025,2516.666449183416
2011-02-01,2190.5536495326246,2321.235091194
2011-03-01,2658.7364097742225,2788.220982827847
2011-04-01,2555.3083591660225,2684.3203796298003
2011-05-01,2741.0267758852237,2869.7854661469423
2011-06-01,2545.0625168590614,2673.6869000627585
2011-07-01,2528.961032347916,2657.5859485074975
2011-08-01,2351.9664946599214,2482.2761403392524
2011-09-01,2335.646063809292,2476.969917899939
2011-10-01,2387.367106601894,2518.373578767979
2011-11-01,2302.77636150874,2432.0112355132173
2011-12-01,2132.1878265325536,2260.8104930695476
2012-01-01,2287.217594188709,2406.169270867161
2012-02-01,2104.3675025105053,2220.0424138933736
2012-03-01,2548.393752677304,2663.441650500939
2012-04-01,2442.0243070524825,2555.5127371573885
2012-05-01,2617.4222020905286,2728.853876264319
2012-06-01,2421.978265852126,2532.6813143380446
2012-07-01,2413.2406999357727,2523.69598639359
2012-08-01,2255.803474201349,2367.4326268453037
2012-09-01,2254.879798456217,2365.3072749233324
2012-10-01,2284.9413786930922,2398.2258751560616
2012-11-01,2199.5535347487366,2310.9992684085364
2012-12-01,2036.3586575819586,2147.9880866366498
2013-01-01,2197.2922523155667,2299.4817573394093
2013-02-01,2016.2001366588108,2120.7723272454205
2013-03-01,2438.2673960618786,2537.296081554925
2013-04-01,2327.9533471195414,2426.4503901151515
2013-05-01,2490.713993145334,2590.471047221089
2013-06-01,2294.3722843143287,2394.880185736777
2013-07-01,2291.4330333931675,2394.574904994721
2013-08-01,2156.7746323551464,2256.4878781695643
2013-09-01,2163.809969117679,2261.747379578191
2013-10-01,2181.630304380134,2280.2158262978014
2013-11-01,2094.53713356135,2192.41235716767
2013-12-01,1934.3915941369924,2038.9833455998842
2014-01-01,2104.1066172105966,2195.101686531055
2014-02-01,1926.6199096422667,2020.670019711975
2014-03-01,2322.0629291932223,2416.7621665723677
2014-04-01,2207.8621585174383,2302.9367614964535
2014-05-01,2358.4010217282143,2455.9643564457015
2014-06-01,2166.0640973507534,2259.4476813040937
2014-07-01,2172.0087068427456,2265.560074399221
2014-08-01,2049.829680109499,2150.3997006634713
2014-09-01,2066.404048727074,2163.899037821374
2014-10-01,2071.6178751686193,2166.6748204895066
2014-11-01,1980.1259950686288,2081.3325470826753
2014-12-01,1833.8979765004729,1930.6522733933984
2015-01-01,2006.547317554953,2096.8316566672693
2015-02-01,1835.1992040989953,1925.5088166241862
2015-03-01,2202.4059193914763,2300.8895345317987
2015-04-01,2084.910041238788,2183.4743483701523
2015-05-01,2225.5635917378545,2324.12664158318
2015-06-01,2031.55597359327,2129.53886158034
2015-07-01,2044.6228598577661,2142.74691656891
2015-08-01,1946.1026868801641,2044.070533698114
2015-09-01,1969.4840785979343,2067.4904908177973
2015-10-01,1956.696346591518,2058.6876621194
2015-11-01,1869.9997861143015,1968.3037908757642
2015-12-01,1729.0250317616842,1827.012543265338
2016-01-01,1904.552162941663,2002.406085047557
2016-02-01,1737.7438712971878,1835.2172480508013
2016-03-01,2078.669560963671,2189.6708265241086
2016-04-01,1957.7263203003201,2068.8263706416033
2016-05-01,2087.2475473764216,2197.69541030621
2016-06-01,1893.1300775615887,2003.6109162849311
2016-07-01,1912.5914016695656,2024.6384918069762
2016-08-01,1834.237888368887,1945.3401335591893
2016-09-01,1865.3974927427234,1976.5407081513504
2016-10-01,1841.4032910617302,1952.1079856939305
2016-11-01,1752.0570875820736,1862.523445786701
2016-12-01,1618.271826988239,1728.6871882437895
2017-01-01,1800.429911860322,1910.7995772444135
2017-02-01,1635.6501754032824,1749.0156686104706
2017-03-01,1950.3745219507864,2081.108542934347
2017-04-01,1826.2456306564143,1956.5689075032763
2017-05-01,1943.1590240628118,2077.7723844320017
2017-06-01,1751.8981280865958,1880.534041597921
2017-07-01,1779.781354624377,1908.4366193474593
2017-08-01,1719.5995352899902,1848.2824578482007
2017-09-01,1759.6773226781554,1888.4528495302504
2017-10-01,1721.335248537318,1850.032595228075
2017-11-01,1630.1417467151286,1759.6658384381758
2017-12-01,1504.5173076992164,1633.1773806231959
2018-01-01,1687.7361475989615,1825.459697029214
2018-02-01,1533.449553371247,1663.6257283111863
2018-03-01,1821.447463656085,1974.23121984405
2018-04-01,1693.9773136703172,1846.148126424702
2018-05-01,1797.5797662941586,1955.2377544204965
2018-06-01,1608.8062201974392,1759.2721698988219
2018-07-01,1643.9857958019702,1794.4616647656271
2018-08-01,1603.1660743509467,1753.6374463973063
2018-09-01,1650.99626776641,1802.044690899211
2018-10-01,1598.976497942533,1749.5220882509714
2018-11-01,1507.8770272976976,1658.557882865714
2018-12-01,1389.0988728878715,1539.5823247404228
2019-01-01,1585.800537844412,1732.7514739216456
2019-02-01,1431.291182681687,1578.7028986919388
2019-03-01,1692.5294136730959,1869.239365797348
2019-04-01,1561.2443151350826,1737.9040218619298
2019-05-01,1657.1846347795577,1832.4980066650437
2019-06-01,1464.546134663457,1639.6336720615227
2019-07-01,1506.6896952164288,1682.6918935110411
2019-08-01,1485.4463341590022,1660.81153262521
2019-09-01,1540.9649421647168,1719.2849857024726
2019-10-01,1474.3981134422377,1652.9546309400241
2019-11-01,1382.852512991436,1560.2024752540779
2019-12-01,1271.9654000273326,1448.2433856307352
2020-01-01,1477.0352956382856,1646.2452190625538
2020-02-01,1326.2781772025185,1497.755234776638
2020-03-01,1560.0323588282263,1766.8587836346805
2020-04-01,1423.949801795747,1633.7595122534628
2020-05-01,1505.4676958545783,1721.113692045706
2020-06-01,1312.5904158963347,1529.5444739026927
2020-07-01,1361.0563445110486,1580.856951323745
2020-08-01,1357.9679113873692,1579.7559698643797
2020-09-01,1422.3932861624207,1645.4816619982043
2020-10-01,1340.571844649406,1566.4551578672736
